날짜,시가,고가,저가,종가,거래량
2019-09-30,16000,16400,15950,16400,16990
2019-10-01,16150,16550,16150,16450,22415
2019-10-02,16200,16450,16000,16200,24581
2019-10-04,16300,16350,16100,16100,16590
2019-10-07,16100,16350,15900,15950,17130
2019-10-08,16050,16350,15700,15900,29670
2019-10-10,15750,15900,15450,15450,54335
2019-10-11,15650,15700,15450,15600,38059
2019-10-14,15650,16200,15600,16100,29036
2019-10-15,15950,16350,15900,16150,22166
2019-10-16,16250,16400,16150,16200,12079
2019-10-17,16100,16350,15800,15900,32284
2019-10-18,15850,16200,15450,15750,137117
2019-10-21,15750,15850,15600,15800,29895
2019-10-22,15750,16100,15750,15850,45472
2019-10-23,15850,16050,15850,15900,21999
2019-10-24,15800,16000,15700,15950,21842
2019-10-25,15900,16050,15750,16050,17359
2019-10-28,16100,16400,16100,16300,32342
2019-10-29,16350,16350,16050,16100,19780
2019-10-30,16000,16300,15900,16100,26836
2019-10-31,16100,16450,15950,16000,44651
2019-11-01,15950,16350,15800,16250,36399
2019-11-04,16250,16900,16150,16800,88155
2019-11-05,16550,16750,16450,16650,28153
2019-11-06,16600,16750,16500,16500,32125
2019-11-07,16300,16650,16300,16500,25777
2019-11-08,16650,16950,16400,16650,50001
2019-11-11,16900,16900,16400,16550,31006
2019-11-12,16500,16950,16400,16750,36800
2019-11-13,16750,16900,16600,16700,19725
2019-11-14,16850,17100,16600,16950,42886
2019-11-15,16850,17150,16550,16800,48195
2019-11-18,16850,16950,16600,16700,19128
2019-11-19,16550,16800,16450,16700,18170
2019-11-20,16700,16700,16400,16500,22106
2019-11-21,16800,16800,16100,16200,28906
2019-11-22,16250,16300,15900,16000,35114
2019-11-25,16000,16500,16000,16400,38791
2019-11-26,16700,16700,16250,16350,41456
2019-11-27,16350,16750,16350,16700,25262
2019-11-28,16650,16650,16400,16400,16882
2019-11-29,16550,16550,15800,15850,67940
2019-12-02,15900,16000,15750,15850,22743
2019-12-03,15800,15800,15550,15650,31165
2019-12-04,15500,15650,15300,15350,48444
2019-12-05,15350,15600,15200,15450,37568
2019-12-06,15500,15650,15450,15600,26597
2019-12-09,15550,15700,15400,15450,35418
2019-12-10,15450,15550,15400,15500,26686
2019-12-11,15600,15650,15300,15450,39165
2019-12-12,15600,15950,15450,15950,91818
2019-12-13,16000,16200,15500,15500,152289
2019-12-16,15650,15850,15350,15350,126357
2019-12-17,15400,15450,14700,14900,329050
2019-12-18,14950,15300,14850,15200,98457
2019-12-19,15250,15500,15100,15500,68787
2019-12-20,15550,15800,15400,15800,69066
2019-12-23,15800,16050,15650,15950,64742
2019-12-24,15950,16150,15800,15950,35815
2019-12-26,16200,16400,16050,16400,80392
2019-12-27,15600,15700,15250,15400,126320
2019-12-30,15400,15450,15150,15250,46305
2020-01-02,15250,15300,14900,15000,54360
2020-01-03,15000,15250,14750,14900,116220
2020-01-06,14700,14850,14450,14550,76416
2020-01-07,14500,14700,14450,14450,51058
2020-01-08,14350,14450,13800,13800,117651
2020-01-09,14000,14100,13750,13850,68011
2020-01-10,13800,13900,13750,13800,58646
2020-01-13,13800,14100,13750,14050,34060
2020-01-14,14050,14300,13950,14200,49767
2020-01-15,14200,14250,14000,14200,30386
2020-01-16,14150,14250,14050,14150,26023
2020-01-17,14150,14250,13950,14000,44796
2020-01-20,14000,14100,13900,14000,25546
2020-01-21,14000,14100,13900,14000,38042
2020-01-22,14050,14200,13900,14150,25035
2020-01-23,14150,14300,14000,14150,30801
2020-01-28,13850,14000,13500,13650,53318
2020-01-29,13650,13650,13450,13500,30464
2020-01-30,13450,13600,13250,13250,44109
2020-01-31,13250,13350,12800,12900,53952
2020-02-03,12700,12850,12500,12600,49275
2020-02-04,12500,12800,12400,12550,76279
2020-02-05,12600,12650,12300,12400,85269
2020-02-06,12450,12950,12450,12950,57968
2020-02-07,12950,13000,12700,12850,29774
2020-02-10,12750,12800,12550,12700,21093
2020-02-11,12700,13100,12700,13000,31553
2020-02-12,12900,13100,12900,13050,30032
2020-02-13,13050,13100,12900,12950,34266
2020-02-14,12900,12950,12700,12700,30878
2020-02-17,12700,12800,12500,12600,44283
2020-02-18,12500,12550,12400,12550,27901
2020-02-19,12550,12600,12250,12300,33267
2020-02-20,12250,12400,11950,12000,77962
2020-02-21,12000,12000,11700,11800,56722
2020-02-24,11550,11750,10700,11100,190600
2020-02-25,11600,11700,11050,11250,79107
2020-02-26,11000,11250,10950,11150,67043
2020-02-27,11250,11400,11100,11400,39771
2020-02-28,11250,11250,10800,10900,72798
2020-03-02,10800,11000,10750,10900,42453
2020-03-03,11050,11200,10750,11000,41013
2020-03-04,11000,11100,10850,10900,43978
2020-03-05,11000,11150,10900,11000,67045
2020-03-06,10850,10950,10350,10600,102800
2020-03-09,10400,10400,9930,10050,119155
2020-03-10,9900,10100,9890,10050,60315
2020-03-11,10000,10150,9750,9820,62825
2020-03-12,9820,9820,8940,9070,178497
2020-03-13,8210,8600,8010,8490,184720
2020-03-16,8420,8600,8020,8090,169395
2020-03-17,7360,8000,7350,7830,137038
2020-03-18,7770,8000,7190,7190,100017
2020-03-19,7180,7350,5350,5650,352792
2020-03-20,5700,6080,5500,5840,279281
2020-03-23,5500,5600,5250,5360,192605
2020-03-24,5530,5790,5410,5730,132684
2020-03-25,5930,6700,5810,6620,264404
2020-03-26,6900,7400,6710,7060,233117
2020-03-27,7290,7650,6950,7190,201427
2020-03-30,6930,7390,6750,7390,109086
2020-03-31,7430,7650,7270,7500,206329
2020-04-01,7490,7780,7380,7550,166697
2020-04-02,7450,7860,7310,7850,116918
2020-04-03,7830,7940,7650,7930,120859
2020-04-06,8300,8300,7910,8130,104473
2020-04-07,8340,8430,8040,8290,190001
2020-04-08,8230,8420,8080,8270,119604
2020-04-09,8400,8590,8290,8590,130340
2020-04-10,8690,9300,8610,9100,224606
2020-04-13,9290,9490,8830,9080,144539
2020-04-14,9090,9300,9010,9070,115391
2020-04-16,8980,9000,8600,8930,103172
2020-04-17,8940,9180,8940,9030,112438
2020-04-20,9020,9280,8940,9180,80858
2020-04-21,9160,9160,8750,8810,166367
2020-04-22,8700,8730,8300,8480,160799
2020-04-23,8500,8790,8420,8780,102758
2020-04-24,8770,8770,8510,8600,51741
2020-04-27,8600,9080,8530,8980,103857
2020-04-28,9010,9090,8810,9000,89343
2020-04-29,9010,9590,9010,9290,179503
2020-05-04,9200,9490,8910,9240,161952
2020-05-06,9330,9480,9250,9320,112367
2020-05-07,9340,9870,9250,9840,155196
2020-05-08,9910,10400,9810,9920,248590
2020-05-11,9920,10100,9780,9940,110280
2020-05-12,9950,9960,9560,9620,101953
2020-05-13,9580,9840,9440,9820,83081
2020-05-14,9820,9820,9350,9430,104872
2020-05-15,9480,9480,9070,9350,89725
2020-05-18,9360,9390,9080,9120,93032
2020-05-19,9280,9920,9210,9880,233800
2020-05-20,9850,9850,9670,9700,78369
2020-05-21,9700,9740,9620,9650,90253
2020-05-22,9690,9690,9350,9380,85787
2020-05-25,9410,9490,9300,9390,38368
2020-05-26,9430,9900,9370,9730,228051
2020-05-27,9750,9940,9600,9920,178545
2020-05-28,9930,9940,9600,9720,118854
2020-05-29,9730,9890,9600,9720,126331
2020-06-01,9620,9940,9620,9830,83029
2020-06-02,9840,10200,9840,10200,122345
2020-06-03,10300,13250,10250,13250,3912914
2020-06-04,13750,13800,11650,11800,1714936
2020-06-05,11800,12350,11500,11950,951075
2020-06-08,12750,13500,12000,12050,1486604
2020-06-09,12100,12200,11600,11800,329965
2020-06-10,11800,11850,11400,11450,190531
2020-06-11,11700,12200,11500,12050,884891
2020-06-12,11250,11600,11050,11150,403960
2020-06-15,11100,11150,10250,10500,282455
2020-06-16,10550,11100,10550,11100,147674
2020-06-17,10800,11000,10300,10550,247816
2020-06-18,10500,11000,10250,11000,228330
2020-06-19,11050,11050,10600,10700,124820
2020-06-22,10700,10700,10400,10500,106060
2020-06-23,10500,10650,10100,10350,142249
2020-06-24,10500,10750,10250,10650,113314
2020-06-25,10400,10450,10100,10150,106554
2020-06-26,10250,10400,10100,10350,86683
2020-06-29,10050,10200,10000,10100,71288
2020-06-30,10200,10300,10000,10150,131452
2020-07-01,10200,10250,10000,10100,65083
2020-07-02,10100,10250,10050,10150,60368
2020-07-03,10150,10250,10000,10100,81704
2020-07-06,10050,10850,10000,10600,222181
2020-07-07,10700,10700,10350,10650,118043
2020-07-08,10650,10650,10350,10500,88245
2020-07-09,10650,10800,10400,10700,93677
2020-07-10,10700,10700,10300,10300,83368
2020-07-13,10300,10450,10200,10400,55640
2020-07-14,10300,10350,10150,10300,55570
2020-07-15,10400,10950,10400,10700,179960
2020-07-16,10650,10800,10450,10550,72549
2020-07-17,10550,10650,10400,10450,51420
2020-07-20,10450,10800,10300,10700,89540
2020-07-21,10700,10750,10400,10500,185494
2020-07-22,10550,12150,10500,11350,933749
2020-07-23,11200,11300,10950,11100,216381
2020-07-24,11100,11750,10850,11500,488937
2020-07-27,11700,11900,11250,11750,310228
2020-07-28,11900,12050,11250,11300,292363
2020-07-29,11200,11250,10900,11100,167091
2020-07-30,11050,11200,10850,10900,117134
2020-07-31,10950,11050,10800,10950,118411
2020-08-03,11050,11050,10550,10600,157987
2020-08-04,10600,10950,10600,10750,136664
2020-08-05,10750,10800,10550,10550,174283
2020-08-06,10650,10900,10500,10600,220821
2020-08-07,10600,10650,10300,10350,1317996
2020-08-10,10600,10950,10500,10850,319154
2020-08-11,11250,12250,11200,11550,1478585
2020-08-12,11500,11500,11050,11500,375192
2020-08-13,11550,11600,11100,11200,279364
2020-08-14,11200,11500,11000,11350,302932
2020-08-18,11250,11350,10150,10300,383227
2020-08-19,10350,10450,10100,10250,251494
2020-08-20,10150,10200,9550,9580,384341
2020-08-21,9600,9820,9510,9590,180559
2020-08-24,9590,9760,9380,9710,132465
2020-08-25,9750,10100,9750,10000,139327
2020-08-26,9990,9990,9790,9840,104777
2020-08-27,9840,9840,9570,9610,148615
2020-08-28,9650,9870,9610,9720,80199
2020-08-31,9860,9940,9720,9780,125422
2020-09-01,9720,9840,9680,9780,83116
2020-09-02,9780,10150,9770,10150,127061
2020-09-03,10150,10350,10000,10200,122923
2020-09-04,9760,10150,9760,10100,114999
2020-09-07,10150,10550,9980,10400,249922
2020-09-08,10500,10600,9990,10100,271616
2020-09-09,9910,10100,9900,10050,70213
2020-09-10,10100,10200,9990,10050,120674
2020-09-11,10000,10100,9970,10050,85997
2020-09-14,10050,10250,10000,10200,124256
2020-09-15,10250,10250,10000,10150,144267
2020-09-16,10150,10250,10050,10150,98898
2020-09-17,10150,10200,10000,10050,70462
2020-09-18,10100,10200,10000,10100,88623
2020-09-21,10100,10200,10050,10050,92926
2020-09-22,10050,10100,9780,9800,168888
2020-09-23,9870,9940,9600,9710,98001
2020-09-24,9600,9670,9350,9390,121602
2020-09-25,9390,9530,9360,9400,67648
2020-09-28,9380,9570,9380,9530,45688
2020-09-29,9650,9890,9550,9760,101802
2020-10-05,9750,10100,9750,10100,106158
2020-10-06,10100,10200,9970,10050,95036
2020-10-07,10000,10150,9900,10100,53895
2020-10-08,10100,10400,10000,10100,207941
2020-10-12,10200,10200,9980,10050,144940
2020-10-13,10100,10200,9990,10100,119514
2020-10-14,10000,10100,9890,9920,170283
2020-10-15,9910,10050,9870,9990,125655
2020-10-16,10000,10050,9810,9830,109882
2020-10-19,9930,10050,9860,9980,97534
2020-10-20,9930,10100,9860,9970,83014
2020-10-21,9970,10100,9950,10100,73051
2020-10-22,10050,10150,9950,9950,156936
2020-10-23,9980,10050,9910,10050,93266
